Year ,Country/Area,SUM(Average length of stay)
2024,Pakistan,12.443153481187199
2023,Pakistan,13.368401856763899
2022,Pakistan,19.974983713355002
2021,Pakistan,43.183908045976999
2020,Pakistan,19.024398625429601
2019,Pakistan,14.011255463817401
2018,Pakistan,14.413690868362099
2017,Pakistan,13.5255738715144
2016,Pakistan,14.8496195363652
2015,Pakistan,16.9885664789952
2014,Pakistan,19.435737459445999
2013,Pakistan,22.425471242145999
2012,Pakistan,26.0199353199353
