Age,Country/Area,Gender,Region,Year,Change,Foreigners Entries
20 - 29,Pakistan,Male,Asia,2020,-0.556793562,"1,432"
20 - 29,Pakistan,Male,Asia,2021,-0.270251397,"1,045"
20 - 29,Pakistan,Male,Asia,2022,1.519617225,"2,633"
20 - 29,Pakistan,Male,Asia,2023,0.728446639,"4,551"
20 - 29,Pakistan,Male,Asia,2024,0.220391123,"5,554"
25 - 29,Pakistan,Male,Asia,2013,,"1,070"
25 - 29,Pakistan,Male,Asia,2014,0.014953271,"1,086"
25 - 29,Pakistan,Male,Asia,2015,0.135359116,"1,233"
25 - 29,Pakistan,Male,Asia,2016,0.111922141,"1,371"
25 - 29,Pakistan,Male,Asia,2017,0.146608315,"1,572"
25 - 29,Pakistan,Male,Asia,2018,0.146310433,"1,802"
25 - 29,Pakistan,Male,Asia,2019,0.077691454,"1,942"
25 - 29,Pakistan,Male,Asia,2020,-0.554582904,865
25 - 29,Pakistan,Male,Asia,2021,-0.270520231,631
25 - 29,Pakistan,Male,Asia,2022,1.400950872,"1,515"
25 - 29,Pakistan,Male,Asia,2023,0.854125413,"2,809"
25 - 29,Pakistan,Male,Asia,2024,0.245283019,"3,498"
30 - 34,Pakistan,Male,Asia,2013,,"1,591"
30 - 34,Pakistan,Male,Asia,2014,-0.074795726,"1,472"
30 - 34,Pakistan,Male,Asia,2015,0.105298913,"1,627"
30 - 34,Pakistan,Male,Asia,2016,0.076828519,"1,752"
30 - 34,Pakistan,Male,Asia,2017,0.090753425,"1,911"
30 - 34,Pakistan,Male,Asia,2018,0.178440607,"2,252"
30 - 34,Pakistan,Male,Asia,2019,0.063499112,"2,395"
30 - 34,Pakistan,Male,Asia,2020,-0.580793319,"1,004"
30 - 34,Pakistan,Male,Asia,2021,-0.262948207,740
30 - 34,Pakistan,Male,Asia,2022,1.245945946,"1,662"
30 - 34,Pakistan,Male,Asia,2023,0.909145608,"3,173"
30 - 34,Pakistan,Male,Asia,2024,0.103057044,"3,500"
30 - 39,Pakistan,Male,Asia,2013,,"3,203"
30 - 39,Pakistan,Male,Asia,2014,-0.052450827,"3,035"
30 - 39,Pakistan,Male,Asia,2015,0.115980231,"3,387"
30 - 39,Pakistan,Male,Asia,2016,0.102745793,"3,735"
30 - 39,Pakistan,Male,Asia,2017,0.087817938,"4,063"
30 - 39,Pakistan,Male,Asia,2018,0.152350480,"4,682"
30 - 39,Pakistan,Male,Asia,2019,0.033105510,"4,837"
30 - 39,Pakistan,Male,Asia,2020,-0.613189994,"1,871"
30 - 39,Pakistan,Male,Asia,2021,-0.221806521,"1,456"
30 - 39,Pakistan,Male,Asia,2022,1.156593407,"3,140"
30 - 39,Pakistan,Male,Asia,2023,0.952866242,"6,132"
30 - 39,Pakistan,Male,Asia,2024,0.090671885,"6,688"
35 - 39,Pakistan,Male,Asia,2013,,"1,612"
35 - 39,Pakistan,Male,Asia,2014,-0.030397022,"1,563"
35 - 39,Pakistan,Male,Asia,2015,0.126039667,"1,760"
35 - 39,Pakistan,Male,Asia,2016,0.126704545,"1,983"
35 - 39,Pakistan,Male,Asia,2017,0.085224407,"2,152"
35 - 39,Pakistan,Male,Asia,2018,0.129182156,"2,430"
35 - 39,Pakistan,Male,Asia,2019,0.004938272,"2,442"
35 - 39,Pakistan,Male,Asia,2020,-0.644963145,867
35 - 39,Pakistan,Male,Asia,2021,-0.174163783,716
35 - 39,Pakistan,Male,Asia,2022,1.064245810,"1,478"
35 - 39,Pakistan,Male,Asia,2023,1.002029770,"2,959"
35 - 39,Pakistan,Male,Asia,2024,0.077391010,"3,188"
40 - 44,Pakistan,Male,Asia,2013,,"1,915"
40 - 44,Pakistan,Male,Asia,2014,-0.030809399,"1,856"
40 - 44,Pakistan,Male,Asia,2015,-0.001077586,"1,854"
40 - 44,Pakistan,Male,Asia,2016,0.066882416,"1,978"
40 - 44,Pakistan,Male,Asia,2017,0.056622851,"2,090"
40 - 44,Pakistan,Male,Asia,2018,0.011004785,"2,113"
40 - 44,Pakistan,Male,Asia,2019,0.053951727,"2,227"
40 - 44,Pakistan,Male,Asia,2020,-0.625954198,833
40 - 44,Pakistan,Male,Asia,2021,-0.223289316,647
40 - 44,Pakistan,Male,Asia,2022,1.145285935,"1,388"
40 - 44,Pakistan,Male,Asia,2023,0.841498559,"2,556"
40 - 44,Pakistan,Male,Asia,2024,0.005086072,"2,569"
40 - 49,Pakistan,Male,Asia,2013,,"3,997"
40 - 49,Pakistan,Male,Asia,2014,0.005003753,"4,017"
40 - 49,Pakistan,Male,Asia,2015,-0.004232014,"4,000"
40 - 49,Pakistan,Male,Asia,2016,0.0385,"4,154"
40 - 49,Pakistan,Male,Asia,2017,0.026961964,"4,266"
40 - 49,Pakistan,Male,Asia,2018,0.020862635,"4,355"
40 - 49,Pakistan,Male,Asia,2019,0.011940299,"4,407"
40 - 49,Pakistan,Male,Asia,2020,-0.637848877,"1,596"
40 - 49,Pakistan,Male,Asia,2021,-0.243107769,"1,208"
40 - 49,Pakistan,Male,Asia,2022,1.110099338,"2,549"
40 - 49,Pakistan,Male,Asia,2023,0.747351903,"4,454"
40 - 49,Pakistan,Male,Asia,2024,0.045352492,"4,656"
