Age,Country/Area,Gender,Region,Year,Change,Foreigners Entries
40 - 49,Pakistan,Female,Asia,2017,0.285382831,554
40 - 49,Pakistan,Female,Asia,2018,0.119133574,620
40 - 49,Pakistan,Female,Asia,2019,0.180645161,732
40 - 49,Pakistan,Female,Asia,2020,-0.625683060,274
40 - 49,Pakistan,Female,Asia,2021,-0.310218978,189
40 - 49,Pakistan,Female,Asia,2022,1.925925926,553
40 - 49,Pakistan,Female,Asia,2023,0.497287523,828
40 - 49,Pakistan,Female,Asia,2024,0.161835749,962
45 - 49,Pakistan,Female,Asia,2013,,123
45 - 49,Pakistan,Female,Asia,2014,-0.065040650,115
45 - 49,Pakistan,Female,Asia,2015,0.356521739,156
45 - 49,Pakistan,Female,Asia,2016,0.262820513,197
45 - 49,Pakistan,Female,Asia,2017,0.304568528,257
45 - 49,Pakistan,Female,Asia,2018,0.085603113,279
45 - 49,Pakistan,Female,Asia,2019,0.089605735,304
45 - 49,Pakistan,Female,Asia,2020,-0.588815789,125
45 - 49,Pakistan,Female,Asia,2021,-0.288,89
45 - 49,Pakistan,Female,Asia,2022,1.528089888,225
45 - 49,Pakistan,Female,Asia,2023,0.591111111,358
45 - 49,Pakistan,Female,Asia,2024,0.125698324,403
50 - 54,Pakistan,Female,Asia,2013,,68
50 - 54,Pakistan,Female,Asia,2014,0.294117647,88
50 - 54,Pakistan,Female,Asia,2015,0.125,99
50 - 54,Pakistan,Female,Asia,2016,0.494949495,148
50 - 54,Pakistan,Female,Asia,2017,0.067567568,158
50 - 54,Pakistan,Female,Asia,2018,0.335443038,211
50 - 54,Pakistan,Female,Asia,2019,0.014218009,214
50 - 54,Pakistan,Female,Asia,2020,-0.607476636,84
50 - 54,Pakistan,Female,Asia,2021,-0.130952381,73
50 - 54,Pakistan,Female,Asia,2022,1.054794521,150
50 - 54,Pakistan,Female,Asia,2023,0.706666667,256
50 - 54,Pakistan,Female,Asia,2024,0.0234375,262
50 - 59,Pakistan,Female,Asia,2013,,126
50 - 59,Pakistan,Female,Asia,2014,0.166666667,147
50 - 59,Pakistan,Female,Asia,2015,0.244897959,183
50 - 59,Pakistan,Female,Asia,2016,0.131147541,207
50 - 59,Pakistan,Female,Asia,2017,0.323671498,274
50 - 59,Pakistan,Female,Asia,2018,0.240875912,340
50 - 59,Pakistan,Female,Asia,2019,0.067647059,363
50 - 59,Pakistan,Female,Asia,2020,-0.658402204,124
50 - 59,Pakistan,Female,Asia,2021,-0.225806452,96
50 - 59,Pakistan,Female,Asia,2022,1.59375,249
50 - 59,Pakistan,Female,Asia,2023,0.799196787,448
50 - 59,Pakistan,Female,Asia,2024,0.053571429,472
55 - 59,Pakistan,Female,Asia,2013,,58
55 - 59,Pakistan,Female,Asia,2014,0.017241379,59
55 - 59,Pakistan,Female,Asia,2015,0.423728814,84
55 - 59,Pakistan,Female,Asia,2016,-0.297619048,59
55 - 59,Pakistan,Female,Asia,2017,0.966101695,116
55 - 59,Pakistan,Female,Asia,2018,0.112068966,129
55 - 59,Pakistan,Female,Asia,2019,0.155038760,149
55 - 59,Pakistan,Female,Asia,2020,-0.731543624,40
55 - 59,Pakistan,Female,Asia,2021,-0.425,23
55 - 59,Pakistan,Female,Asia,2022,3.304347826,99
55 - 59,Pakistan,Female,Asia,2023,0.939393939,192
55 - 59,Pakistan,Female,Asia,2024,0.09375,210
60 - 64,Pakistan,Female,Asia,2013,,31
60 - 64,Pakistan,Female,Asia,2014,0.129032258,35
60 - 64,Pakistan,Female,Asia,2015,0.428571429,50
60 - 64,Pakistan,Female,Asia,2016,-0.02,49
60 - 64,Pakistan,Female,Asia,2017,0.306122449,64
60 - 64,Pakistan,Female,Asia,2018,0.078125,69
60 - 64,Pakistan,Female,Asia,2019,0.217391304,84
60 - 64,Pakistan,Female,Asia,2020,-0.75,21
60 - 64,Pakistan,Female,Asia,2021,-0.476190476,11
60 - 64,Pakistan,Female,Asia,2022,3.818181818,53
60 - 64,Pakistan,Female,Asia,2023,1.094339623,111
60 - 64,Pakistan,Female,Asia,2024,-0.054054054,105
60 - 69,Pakistan,Female,Asia,2013,,58
60 - 69,Pakistan,Female,Asia,2014,0.120689655,65
60 - 69,Pakistan,Female,Asia,2015,0.2,78
60 - 69,Pakistan,Female,Asia,2016,0.115384615,87
60 - 69,Pakistan,Female,Asia,2017,0.195402299,104
60 - 69,Pakistan,Female,Asia,2018,0.153846154,120
60 - 69,Pakistan,Female,Asia,2019,0.125,135
60 - 69,Pakistan,Female,Asia,2020,-0.755555556,33
60 - 69,Pakistan,Female,Asia,2021,-0.575757576,14
60 - 69,Pakistan,Female,Asia,2022,5.357142857,89
60 - 69,Pakistan,Female,Asia,2023,0.808988764,161
60 - 69,Pakistan,Female,Asia,2024,-0.012422360,159
65 - 69,Pakistan,Female,Asia,2013,,27
65 - 69,Pakistan,Female,Asia,2014,0.111111111,30
65 - 69,Pakistan,Female,Asia,2015,-0.066666667,28
65 - 69,Pakistan,Female,Asia,2016,0.357142857,38
65 - 69,Pakistan,Female,Asia,2017,0.052631579,40
65 - 69,Pakistan,Female,Asia,2018,0.275,51
65 - 69,Pakistan,Female,Asia,2019,0,51
65 - 69,Pakistan,Female,Asia,2020,-0.764705882,12
65 - 69,Pakistan,Female,Asia,2021,-0.75,3
65 - 69,Pakistan,Female,Asia,2022,11,36
65 - 69,Pakistan,Female,Asia,2023,0.388888889,50
65 - 69,Pakistan,Female,Asia,2024,0.08,54
70 - ,Pakistan,Female,Asia,2013,,44
70 - ,Pakistan,Female,Asia,2014,1.363636364,74
70 - ,Pakistan,Female,Asia,2015,-0.540540541,54
70 - ,Pakistan,Female,Asia,2016,0.740740741,74
70 - ,Pakistan,Female,Asia,2017,0.486486486,92
70 - ,Pakistan,Female,Asia,2018,0.782608696,128
70 - ,Pakistan,Female,Asia,2019,0.03125,130
70 - ,Pakistan,Female,Asia,2020,-1.661538462,22
70 - ,Pakistan,Female,Asia,2021,-1.454545455,6
70 - ,Pakistan,Female,Asia,2022,20.666666667,68
70 - ,Pakistan,Female,Asia,2023,1.647058824,124
70 - ,Pakistan,Female,Asia,2024,-0.516129032,92
